4M,5M,1+4M,1+5M,2+4M,2+5M,3+4M,3+5M,4+5M,P8,A9,1+P8,1+A9,2+P8,2+A9,4-10M,5-12M,NC (8+)
,,,M: U'/M,,U' D': R'/E,,r' U' E': L'/E,,"R' U' R, E","U2: M, U' L' U","S': L' E L, U'","R U': R' U R, E",,,,,
,,,M': U'/M',,U' D': R/E,,l U E: R'/E',,"L' F' L, S","U: L', U M U'","S: U, R' E R","L' u: L U' L', E",,,,,
,,,M': U/M',,U D: L/E',,l U E: R/E',,"S, L' F' L","U2: M, U R U'","S: R' E R, U","L' U: L U' L', E'",,,,,
,,,S: L/S,,U D: L'/E',,,,"R F R', S'","U': R, U' M U","S': U', L E' L'","l' U2: l E' l', U'",,,,,
,,,S: L'/S,,U' D: R'/E,,,,"S', R F R'","M': U R' U', M'","S': L E' L', U'","l' U: l E' l', U",,,,,
,,,S': R'/S',,U' D: R/E,,,,"M', U L' U'","M2: U R' U', M","U': L F' L', S","r U2: r' E r, U",,,,,
,,,S': R/S',,U D': L/E',,,,"U L' U', M'","U2: M, U' L U","r': U, L' E L","r U': r' E r, U'",,,,,
,,,E: L/S',,U D': L'/E',,,,"M', U' R U","U: L, U M U'","r': L' E L, U","l' U2: l' E l, U'",,,,,
,,,E: L'/S',,S U': R'/E',,,,"U' R U, M'","U2: M, U R' U'","l: U', R E' R'","l' U: l' E l, U",,,,,
,,,E': R'/S,,R U': R/E',,,,"M, U L' U'","U': R', U' M U","l: R E' R', U'","r U2: r E' r', U",,,,,
,,,E': R/S,,R U': R'/E',,,,"U L' U', M","U: R E' R', U","U': L F2 L', S","r U': r E' r', U'",,,,,
,,,E: R'/E,,U' D': R/E',,,,"M, U' R U","U2: R E' R', U'","U': S, L F2 L'","u' R': U, R' E R",,,,,
,,,E: R/E,,U' D': R'/E',,,,"U' R U, M","U': L' E L, U'","U: R' F2 R, S'","u' R': R' E R, U",,,,,
,,,E': L/E',,U' D: R/E',,,,"U L U', M'","U2: L' E L, U","U: S', R' F2 R","U R': R' E R, U",,,,,
,,,E': L'/E',,U' D: R'/E',,,,"M', U L U'","U: R' E R, U","U': L F L', S","U R': U, R' E R",,,,,
,,,E': L'/S',,U R': U/M',,,,"U' R' U, M'","U2: R' E R, U'","U': S, L F L'","l U': l E' l', U'",,,,,
