P8,A9,10M,1+A9,2+P8,2+A9,3+P8,3+A9,4+P8,4+A9,Cyclic Shift,5ins,7ins
,,,"U R': U2, R' D R",,"U' D' R: U2, R D' R'",,,,,,,
,,,"U R': R' D R, U2",,R U: D'/R' U R,,,,,,,
,,,"U R': U2, R' D' R",,R U: D/R' U R,,,,,,,
,,,"U R': R' D R', U2",,D R': D'/R U' R',,,,,,,
,,,"U' R: R D' R', U2",,D R': D/R U' R',,,,,,,
,,,"U' R: U2, R D' R'",,"D U' R: R D' R', U'",,,,,,,
,,,"U' D2: R U R', D'",,"D U' R: U', R D' R'",,,,,,,
,,,"D U': R U R', D ",,R' U': D/R U R',,,,,,,
,,,"R U': R D' R', U'",,R' U': D'/R U R',,,,,,,
,,,"R U2: R D' R', U",,"R U' R': R' D' R, U'",,,,,,,
,,,"U R: R D' R', U",,"R U' R': U', R' D' R",,,,,,,
,,,"U R: U, R D' R'",,D' R': D/R U' R',,,,,,,
,,,"R' U': R D' R', U'",,D' R': D'/R U' R',,,,,,,
,,,"R' U2: R D' R', U",,"U' R' U2: R' D' R, U'",,,,,,,
,,,"U R': D', R' U R",,"U' R' U: R' D' R, U",,,,,,,
,,,"U R': R' U R, D'",,"U D R: U, R D' R' ",,,,,,,
,,,R: D/R U' R',,"U D R: R D' R', U ",,,,,,,
,,,R: D'/R U' R',,"D R' U2: R D' R', U",,,,,,,
,,,R': D/R U' R',,"D R' U': R D' R', U'",,,,,,,
,,,R': D'/R U' R',,"R' U' R: U, R D R'",,,,,,,
,,,R': U/R' D R,,"R' U' R: R D R', U",,,,,,,
,,,R': U'/R' D R,,"D' U' R: R D' R', U",,,,,,,
,,,"D' R: D2, R U' R'",,"D' U' R: U, R D' R'",,,,,,,
,,,"D' R: R U' R', D2",,R' D: U/R' D R,,,,,,,
,,,U': D/R U R',,R' D: U'/R' D R,,,,,,,
,,,U': D'/R U R',,"U' D' R: R D' R', U'",,,,,,,
,,,"R U2: R D R', U",,"U' D' R: U', R D' R'",,,,,,,
,,,"R U': R D R', U'",,"R' U' R: U, R D' R'",,,,,,,
,,,"D' R': R' D R, U'",,"R' U' R: R D' R', U",,,,,,,
,,,"D' R': U', R' D R",,"R D R': R' U R, D'",,,,,,,
,,,"D' R: D, R U' R'",,"R D R': D', R' U R",,,,,,,
,,,"D' R: R U' R', D",,"R' D R: R D' R', U",,,,,,,
,,,"U' R': R' U R, D",,"R' D R: U, R D' R'",,,,,,,
,,,"U' R': D, R' U R",,"R' U R: D', R U' R'",,,,,,,
,,,"l' U2: R' D R, U'",,"R' U R: R U' R', D'",,,,,,,
,,,"l' U: R' D R, U",,U R: D'/R' U' R,,,,,,,
,,,"D' R: D', R U' R'",,U R: D/R' U' R,,,,,,,
,,,"D' R: R U' R', D'",,R' D': U/R D' R',,,,,,,
,,,"U2 R': R' D R, U'",,R' D': U'/R D' R',,,,,,,
,,,"U2 R': U', R' D R",,"U' R' U: R' D R, U",,,,,,,
,,,"D R: D', R U' R'",,"U' R' U2: R' D R, U'",,,,,,,
,,,"D R: R U' R', D'",,"R' D R: R D' R', U'",,,,,,,
,,,"R' U': R D R', U'",,"R' D R: U', R D' R'",,,,,,,
,,,"R' U2: R D R', U",,"U R D2: R' U' R, D'",,,,,,,
,,,"R' D': R U' R', D'",,"U R D: R' U' R, D",,,,,,,
,,,"R' D2: R U' R', D",,D R': D'/R U R',,,,,,,
,,,"U' R: R D' R', U'",,D R': D/R U R',,,,,,,
